gate,metric,value,threshold,direction,passed,gap_ratio,note
did_placebo_false_positive,placebo_share_p_lt_0_10,0.2,0.2,max,1,0.0,False-positive rate under placebo timing should stay low.
did_placebo_magnitude,placebo_max_abs_t,1.8368190215790945,1.96,max,1,-0.06284743796984973,Placebo t-statistics should not mimic real treatment effects.
did_permutation,permutation_two_sided_p,0.4125,0.1,min,1,-3.125,Observed DID coefficient should not look extreme under random treatment shuffles.
leave_one_continent_sign,same_sign_share,1.0,0.5,min,1,-1.0,Direction should remain stable under leave-one-continent-out splits.
leave_one_continent_dispersion,did_cv,0.10924963628267477,1.5,max,1,-0.9271669091448835,Cross-continent DID dispersion should remain bounded.
pretrend_geometry,pretrend_pass_rate,1.0,0.2,min,1,-4.0,At least a minimal subset of unique timing geometries should pass pretrend diagnostics.
shock_leave_one,leave_one_shock_same_sign_share,0.6666666666666666,0.6666666666666666,min,1,0.0,Few-shock fallback used: sign consistency is more stable than coefficient of variation with only 2-3 shocks.
shock_placebo_separation,real_vs_placebo_abs_effect_ratio,1.0,0.8,min,1,-0.24999999999999994,Fallback check used: no explicit placebo-year rows available in export.
multiple_testing_presence,multiple_testing_rows,17.0,8.0,min,1,-1.125,Multiple-testing table should contain non-trivial hypothesis families.
multiple_testing_external_signal,external_bh_q_lt_0_10_hits,1.0,1.0,min,1,0.0,At least one external-validation endpoint should survive within-family BH correction.
multiple_testing_family_presence,external_and_policy_families_present,1.0,1.0,min,1,0.0,Multiple-testing table should keep external-validation and policy-sensitivity families distinct.
